Job Title,Company,Experience Needed,Salary,Vacancy Link
Data Analyst,TVS Srichakra,0-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-tvs-srichakra-madurai-0-to-2-years-170423002921
Data Analyst,Premium,0-2 Yrs,4-8 Lacs PA,https://www.naukri.com/job-listings-data-analyst-noida-new-delhi-gurgaon-gurugram-0-to-2-years-240423004282
Data Analyst  @ Heritage Nutrivet Limited,Heritage Foods,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-heritage-nutrivet-limited-heritage-foods-jubilee-hills-hyderabad-2-to-7-years-210423605197
Data Analyst,Randstad India,2-7 Yrs,2.5-7 Lacs PA,https://www.naukri.com/job-listings-data-analyst-randstad-india-pune-2-to-7-years-160323007227
Data Analyst,Ascendion Engineering,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ascendion-ahmedabad-3-to-5-years-250423501975
Data Engineer/ Data Analyst,ANZ,1-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-engineer-data-analyst-anz-support-services-india-pvt-ltd-bangalore-bengaluru-1-to-2-years-250423500401
Data Engineer/ Data Analyst,ANZ,1-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-engineer-data-analyst-anz-banking-group-bangalore-bengaluru-1-to-2-years-250423500398
Data Analyst,Bayer,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-bayer-cropscience-ltd-bangalore-bengaluru-2-to-5-years-180423500645
Data Analyst  @ Heritage Nutrivet Limited,Heritage Nutrivet Limited,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-heritage-nutrivet-limited-heritage-nutrivet-limited-jubilee-hills-hyderabad-2-to-7-years-210423005195
Data Analyst,Square Panda,1-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-square-panda-education-pvt-ltd-mumbai-all-areas-1-to-3-years-190423004766
Data Analyst,Impetus Technologies,4-9 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-impetus-technologies-noida-indore-hyderabad-secunderabad-bangalore-bengaluru-4-to-9-years-240423004431
Data Analyst - Strategy & Ops,Sprinklr,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-strategy-ops-sprinklr-solutions-pvt-ltd-gurgaon-gurugram-2-to-5-years-250423500709
Data Analyst,Mm Staffing & Career Consultants,0-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-mm-staffing-career-consultants-private-limited-bangalore-bengaluru-0-to-8-years-110423501693
Data Analyst,Clarivate,3-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-clarivate-analytics-bangalore-bengaluru-3-to-4-years-250423500863
Data Analyst,GHX India Pvt LTD,5-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ghx-india-pvt-ltd-hyderabad-secunderabad-5-to-10-years-220423003427
Data Analyst - NDHM - Delhi,National Institute for Smart Government (NISG),4-9 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ndhm-delhi-national-institute-for-smart-government-nisg-new-delhi-4-to-9-years-241121006803
Data Analyst,Olangar Solutions Pvt Ltd,0-3 Yrs,1-3 Lacs PA,https://www.naukri.com/job-listings-data-analyst-olangar-solutions-pvt-ltd-bhubaneswar-0-to-3-years-120423008653
Data Analyst,Target,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-target-corporation-india-pvt-ltd-bangalore-bengaluru-2-to-4-years-140423500095
Data Analyst,Standard Chartered Bank,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-standard-chartered-bank-ltd-bangalore-bengaluru-2-to-5-years-210423502832
Data Analyst,IBM,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ibm-india-pvt-limited-bangalore-bengaluru-2-to-4-years-170323909709
Data Analyst,Globals Ites,2-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-globals-ites-bangalore-bengaluru-2-to-3-years-110423006590
Data Analyst  _ 5 Years To 8 Years_ Pune/ Kolkata/ Chennai,Nihilent,5-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-5-years-to-8-years-pune-kolkata-chennai-nihilent-kolkata-pune-chennai-5-to-8-years-210223005011
Data Analyst,Frost & Sullivan,2-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-frost-sullivan-gurgaon-gurugram-chennai-mumbai-all-areas-2-to-6-years-190423005480
Data Analyst | Aakash Institute | Kerala,Parth Associates,0-3 Yrs,1-4 Lacs PA,https://www.naukri.com/job-listings-data-analyst-aakash-institute-kerala-parth-associates-cannanore-kannur-calicut-kozhikode-ravipuram-0-to-3-years-160423000701
Urgent Opening For Data Analyst | MNC | Bangalore(US Shift),Yellow Box Hr Services,4-9 Yrs,5.5-14 Lacs PA,https://www.naukri.com/job-listings-urgent-opening-for-data-analyst-mnc-bangalore-us-shift-yellow-box-hr-services-bangalore-bengaluru-4-to-9-years-180423009671
Urgent Hiring For Data Analyst For MNC - Bangalore,Yellow Box Hr Services,3-8 Yrs,5-13 Lacs PA,https://www.naukri.com/job-listings-urgent-hiring-for-data-analyst-for-mnc-bangalore-yellow-box-hr-services-bangalore-bengaluru-3-to-8-years-180423009250
Data Analyst,Varite,4-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-varite-bangalore-bengaluru-4-to-5-years-110423006888
Data Analyst,Koch Industries,5-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-koch-business-solutions-india-private-limited-bangalore-bengaluru-5-to-10-years-250423910076
Data Analyst III,Vimeo,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-iii-vimeo-bangalore-bengaluru-2-to-5-years-250423501882
Data Analyst,Cardinal Drugs Ltd.,7-12 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-cardinal-drugs-ltd-bangalore-bengaluru-7-to-12-years-250423500143
Data Analyst,Aecom,4-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-aecom-india-private-limited-bangalore-bengaluru-4-to-5-years-240423906267
Data Analyst,NatWest Group,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-natwest-markets-bangalore-bengaluru-2-to-5-years-240423500171
Data Analyst,Smiths,3-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-smiths-group-plc-bangalore-bengaluru-3-to-4-years-240423500161
Data Analyst,Experian,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-experian-plc-mumbai-3-to-5-years-250423501944
Omnichannel Data Analyst,Mirum,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-omnichannel-data-analyst-mirum-digital-pvt-ltd-mumbai-3-to-5-years-250423501180
Data Analyst,S5 Agency World India Pvt Ltd,4-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-s5-agency-world-india-pvt-ltd-navi-mumbai-4-to-5-years-250423006781
Data Analyst,Harita Techserv,0-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-harita-techserv-hosur-0-to-5-years-180423003444
Data Analyst,Vdart Software Services,7-12 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-vdart-software-services-hyderabad-secunderabad-chennai-bangalore-bengaluru-7-to-12-years-240423001417
Data Analyst Data Presentation Pdf,Pass 11 Plus Grammar Preparation,2-7 Yrs,"50,000-3 Lacs PA",https://www.naukri.com/job-listings-data-analyst-data-presentation-pdf-pass-11-plus-grammar-preparation-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-2-to-7-years-130423009145
Data Analyst,Anita Dongre,1-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-house-of-anita-dongre-limited-navi-mumbai-1-to-5-years-190423004654
Data Analyst,Ericsson,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ericsson-india-global-services-pvt-ltd-noida-2-to-7-years-210423500612
Data Analyst (UK),Amsi Technologies,3-5 Yrs,"30,000-40,000 PA",https://www.naukri.com/job-listings-data-analyst-uk-amsi-technologies-united-kingdom-3-to-5-years-240423000516
Data Analyst,GM Analytics Solutions,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-gm-analytics-solutions-gurgaon-gurugram-2-to-5-years-130223005012
Data Analyst,Soni Brothers Outsourcing Solutions,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-soni-brothers-outsourcing-solutions-ahmedabad-3-to-5-years-120423007335
Data Analyst,Patra India Bpo Services,3-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-patra-india-bpo-services-pvt-ltd-visakhapatnam-vizag-3-to-6-years-110423500015
Data Analyst - FinTech,Primo Hiring,1-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-fintech-primo-hiring-noida-ghaziabad-faridabad-gurgaon-gurugram-1-to-3-years-281222907477
Data Analyst,Ankura Hospital,3-8 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-ankura-hospital-tirupati-khammam-hyderabad-secunderabad-3-to-8-years-240423501567
Data Analyst,Imaginarium,2-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-imaginarium-india-pvt-ltd-pune-2-to-3-years-240423500806
Data Analyst,NatWest Group,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-natwest-markets-gurgaon-gurugram-2-to-5-years-240423500169
Data Analyst,BNB GROUPE,3-8 Yrs,1-3.5 Lacs PA,https://www.naukri.com/job-listings-data-analyst-bnb-groupe-central-african-republic-3-to-8-years-240423005658
Data Analyst,Guidehouse,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-guidehouse-trivandrum-thiruvananthapuram-2-to-5-years-130323007617
Data Analyst,Capco,7-12 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-capco-kolkata-hyderabad-secunderabad-pune-bangalore-bengaluru-7-to-12-years-170423002520
Oracle Tax & Treasury PMO Contractor (Data Analyst),Oracle,3-7 Yrs,6-14 Lacs PA,https://www.naukri.com/job-listings-oracle-tax-treasury-pmo-contractor-data-analyst-oracle-bangalore-bengaluru-3-to-7-years-120423003754
Data Analyst,S&P Global Inc.,1-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-s-p-global-inc-hyderabad-secunderabad-1-to-4-years-210423500941
Analyst Data intake,Unitedlex,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-analyst-data-intake-unitedlex-delhi-ncr-2-to-4-years-250423006298
Data Analyst,Blinkit,0-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-grofers-bangalore-bengaluru-0-to-2-years-290722500583
Data Analyst,Integreon,0-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-integreon-mumbai-0-to-2-years-040722500979
Logistics Data Analyst,Reshamandi,1-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-logistics-data-analyst-reshamandi-bangalore-bengaluru-1-to-3-years-190423500720
Data Analyst,Netradyne,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-netradyne-bangalore-bengaluru-2-to-4-years-210423502170
Staff Data Analyst,DTS,10-12 Yrs,Not disclosed,https://www.naukri.com/job-listings-staff-data-analyst-xperi-bangalore-bengaluru-10-to-12-years-210423501037
Staff Data Analyst,Mobitv,10-20 Yrs,Not disclosed,https://www.naukri.com/job-listings-staff-data-analyst-mobitv-bangalore-bengaluru-10-to-20-years-210423500352
Data Analyst,Persolkelly India,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-persolkelly-bangalore-bengaluru-2-to-5-years-200423501493
Data Analyst,Rootbridge Services,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-rootbridge-services-bangalore-bengaluru-3-to-5-years-190423502305
Procurement Data analyst,Ascendion Engineering,2-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-procurement-data-analyst-ascendion-bangalore-bengaluru-vadodara-baroda-2-to-5-years-190423501576
Salesforce Data Analyst,Jacobs ,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-salesforce-data-analyst-jacobs-gurgaon-gurugram-3-to-5-years-250423501729
Omnichannel Data Analyst,Mirum,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-omnichannel-data-analyst-social-wavelength-mumbai-2-to-4-years-210423500963
Omnichannel Data Analyst,Mirum,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-omnichannel-data-analyst-mirum-mumbai-3-to-5-years-210423500915
Data Analyst,Coforge,8-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-coforge-hyderabad-secunderabad-8-to-10-years-210423500311
Data Analyst,Schbang,6-11 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-schbang-digital-mumbai-6-to-11-years-200423500224
Data Analyst/Data Specialist,Impendi Analytics,1-6 Yrs,6-13 Lacs PA,https://www.naukri.com/job-listings-data-analyst-data-specialist-impendi-analytics-pune-gurgaon-gurugram-mumbai-all-areas-1-to-6-years-200423004882
Data Analyst,Jeena Sikho Lifecare,1-3 Yrs,2-3.75 Lacs PA,https://www.naukri.com/job-listings-data-analyst-jeena-sikho-lifecare-navi-mumbai-1-to-3-years-190423009253
Staff Data Analyst,Tivo,10-15 Yrs,Not disclosed,https://www.naukri.com/job-listings-staff-data-analyst-tivo-bangalore-bengaluru-10-to-15-years-210423501464
Data Analyst,Adila It Consultancy Services,5-9 Yrs,4-9 Lacs PA,https://www.naukri.com/job-listings-data-analyst-adila-it-consultancy-services-bangalore-bengaluru-5-to-9-years-220423003012
AR Data Analyst,Hireworks Recruitment Consultants,1-5 Yrs,4-5 Lacs PA,https://www.naukri.com/job-listings-ar-data-analyst-hireworks-recruitment-consultants-hyderabad-secunderabad-chennai-bangalore-bengaluru-1-to-5-years-190423008209
Data Analyst,Symbiosis Management Consultants,3-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-symbiosis-management-consultants-bangalore-bengaluru-3-to-5-years-110423010500
Data Analyst - Chennai,Larsen & Toubro (L&T),7-12 Yrs,"50,000-1 Lacs PA",https://www.naukri.com/job-listings-data-analyst-chennai-larsen-toubro-l-t-chennai-7-to-12-years-170423004887
Data Analyst - Unix Shell Scripting,Capgemini,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-unix-shell-scripting-capgemini-chennai-2-to-7-years-090323904287
Data Analyst,Yulu Bikes,0-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-yulu-bangalore-bengaluru-0-to-2-years-161122500306
Data Analyst - Marketplace & Omni channel,Myntra,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-marketplace-omni-channel-myntra-com-bangalore-bengaluru-2-to-4-years-170423500347
Data Analyst,Tata Technologies,4-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-tata-technologies-bangalore-bengaluru-4-to-6-years-120423004806
Data Analyst,SHARE Microfin,2-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-share-microfin-hyderabad-secunderabad-2-to-3-years-060423003794
Data Analyst - FinTech,Primo Hiring,1-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-fintech-primo-hiring-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-1-to-2-years-281222907443
Hiring PostgreSQL Developer & Data Analyst - For Infosys /C2H/WFH,Orcapod Consulting Services,8-13 Yrs,Not disclosed,https://www.naukri.com/job-listings-hiring-postgresql-developer-data-analyst-for-infosys-c2h-wfh-orcapod-consulting-services-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-mumbai-all-areas-8-to-13-years-110423004660
Data Analyst,"ChargePoint, Pvt. Ltd.",1-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-chargepoint-pvt-ltd-gurgaon-gurugram-1-to-4-years-220423500577
Data Analyst,Wonderskool,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-wonderskool-panchkula-2-to-7-years-210423500069
Data Analyst,Infor,1-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-infor-hyderabad-secunderabad-1-to-3-years-230423500022
Data Analyst,Narang Garments,1-5 Yrs,1.75-2.5 Lacs PA,https://www.naukri.com/job-listings-data-analyst-narang-garments-new-delhi-delhi-ncr-1-to-5-years-220423002922
Data Analyst,"Qualifacts Systems, Inc.",2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-qualifacts-systems-inc-pune-2-to-4-years-210423501727
Data Analyst,Superior Electric Machines,4-5 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-oceanofweb-noida-4-to-5-years-200423905104
Data Analyst,"ChargePoint, Pvt. Ltd.",2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-chargepoint-pvt-ltd-gurgaon-gurugram-2-to-4-years-200423500092
Data Analyst With ITCrats Info Solutions_ Hyderabad,Itcrats Info Solutions,5-10 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-with-itcrats-info-solutions-hyderabad-itcrats-info-solutions-hyderabad-secunderabad-5-to-10-years-200423005103
Data Analyst(OBIA/OBIEE/ODI/ETL),GE Appliances,6-9 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-obia-obiee-odi-etl-ge-appliances-hyderabad-secunderabad-6-to-9-years-190423501499
Data Analyst,Jones Lang LaSalle (JLL),5-7 Yrs,"50,000-60,000 PA",https://www.naukri.com/job-listings-data-analyst-jones-lang-lasalle-jll-pune-5-to-7-years-170423002442
Data Analyst,Fabel Services,7-10 Yrs,15-20 Lacs PA,https://www.naukri.com/job-listings-data-analyst-fabel-services-gurgaon-gurugram-delhi-ncr-7-to-10-years-200423005997
Data Analyst,Adroit People,7-10 Yrs,8-18 Lacs PA,https://www.naukri.com/job-listings-data-analyst-adroit-people-chennai-7-to-10-years-190423005677
Data Analyst,ICICI Lombard,3-4 Yrs,5-6 Lacs PA,https://www.naukri.com/job-listings-data-analyst-icici-lombard-mumbai-all-areas-3-to-4-years-310323006070
ESG Data Analyst : ESG Newsroom,Institutional Shareholder Services,1-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-esg-data-analyst-esg-newsroom-institutional-shareholder-services-inc-mumbai-1-to-3-years-250323500533
Data Analyst,ICICI Lombard,3-6 Yrs,6-11 Lacs PA,https://www.naukri.com/job-listings-data-analyst-icici-lombard-mumbai-all-areas-3-to-6-years-060423009325
PCN Data Analyst,Arrow Electronics,1-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-pcn-data-analyst-arrow-electronics-india-pvt-ltd-bangalore-bengaluru-1-to-2-years-251122500997
data analyst,Disha Consultants,2-4 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-disha-consultant-pune-chennai-jaipur-bangalore-bengaluru-2-to-4-years-140621501222
ESG Data Analyst - Alternative Data (Japanese Speaking),Institutional Shareholder Services,2-7 Yrs,Not disclosed,https://www.naukri.com/job-listings-esg-data-analyst-alternative-data-japanese-speaking-institutional-shareholder-services-inc-mumbai-2-to-7-years-111121502431
Apprenticeship - Data Analyst - Goa,Cloudstrats Technologies Pvt Ltd,0-3 Yrs,Not disclosed,https://www.naukri.com/job-listings-apprenticeship-data-analyst-goa-cloudstrats-technologies-pvt-ltd-panaji-panjim-goa-0-to-3-years-140423008429
Data Analyst,S&P Global Inc.,0-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-s-p-global-inc-hyderabad-secunderabad-gurgaon-gurugram-ahmedabad-0-to-2-years-281122504322
Data Analyst,S&P Global Inc.,0-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-s-p-global-inc-ahmedabad-0-to-6-years-091222502092
Data Analyst,S&P Global Inc.,0-6 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-s-p-global-inc-ahmedabad-0-to-6-years-060123501179
Data Analyst,S&P Global Inc.,0-2 Yrs,Not disclosed,https://www.naukri.com/job-listings-data-analyst-s-p-global-inc-hyderabad-secunderabad-0-to-2-years-040323500343
Opening For Data Analyst,Jobuss Resources Pvt.ltd,2-7 Yrs,2-6 Lacs PA,https://www.naukri.com/job-listings-opening-for-data-analyst-jobuss-resources-pvt-ltd-mumbai-thane-mumbai-all-areas-2-to-7-years-170423003106
